(alarm),"<audio src=""soundbank://soundlibrary/scifi/amzn_sfx_scifi_alarm_01""/>'"
(alarm),"<audio src=""soundbank://soundlibrary/scifi/amzn_sfx_scifi_alarm_02""/>'"
(alarm),"<audio src=""soundbank://soundlibrary/scifi/amzn_sfx_scifi_alarm_04""/>'"
(door),"<audio src=""soundbank://soundlibrary/scifi/amzn_sfx_scifi_door_open_01""/>'"
(door),"<audio src=""soundbank://soundlibrary/scifi/amzn_sfx_scifi_door_open_02""/>'"
(ship),"<audio src=""soundbank://soundlibrary/scifi/amzn_sfx_scifi_spaceship_flyby_01""/>'"
(engine),"<audio src=""soundbank://soundlibrary/scifi/amzn_sfx_scifi_engines_on_01""/>'"
(engine),"<audio src=""soundbank://soundlibrary/scifi/amzn_sfx_scifi_engines_on_02""/>'"
(engine),"<audio src=""soundbank://soundlibrary/scifi/amzn_sfx_scifi_engines_on_large_01""/>'"
(large_explosion),"<audio src=""soundbank://soundlibrary/explosions/medium_large/medium_large_explosions_02""/>'"
(large_explosion),"<audio src=""soundbank://soundlibrary/explosions/medium_large/medium_large_explosions_11""/>'"
